step_description_id,step_description
800,Get sugar container from the countertop
801,Add sugar to the frying pan from the sugar container
802,Stir the tomatoes and egg with the spatula
803,Put off the stove
804,Transfer the tomatoes and egg to the plate
805,Add diced scallion to the plate
806,Check paper recipe in the container on the countertop
807,Allow the tomatoes to cook in the frying pan
808,Get a skillet from the countertop
809,Turn on the stove with a lighter
810,Get butter from the pantry
811,Get a chopping board from the pantry
812,Cut a piece of butter on a chopping board with a knife
813,Get a tomato from the pantry
814,Cut tomato on the chopping board with a knife
815,Get an onion from the pantry
816,Add cut tomato to the skillet
817,Add cut tomatoes  to the skillet
818,Cut an onion on a chopping board with a knife
819,Get an egg from the pantry
820,Get green chili pepper from the pantry
821,Get a bowl from the kitchen cabinet
822,Cut green chili pepper on a chopping board with a knife
823,Add cut green chili pepper to a mixing bowl
824,Crack an egg into a mixing bowl
825,Add cut onions to the egg in the mixing bowl
826,Get salt from the pantry
827,Add salt to the egg in a mixing bowl
828,Get red pepper powder from the pantry
829,Get turmeric from the pantry
830,Add red pepper powder to the egg in a mixing bowl
831,Add turmeric to the egg in the mixing bowl
832,Get a spoon from the kitchen cabinet
833,Whisk the egg mixture with a spoon
834,Pour the egg mixture into a skillet with a spoon
835,Tilt and rotate skillet with a kitchen towel to allow uncooked egg to flow into empty spaces
836,Close the skillet with a stainless bowl
837,Cut butter on a chopping board with a knife
838,Get a spatula from the kitchen cabinet
839,Lift the bowl off the skillet
840,Gently slide the spatula beneath cooked potions of the egg in the skillet
841,Cook until the egg is cooked
842,Lift the stainless bowl off the skillet
843,Add butter to the tomato and egg in the skillet
844,Transfer the tomato and egg to a plate with a spatula
845,Wipe hands with napkin
846,Turn on the gas cooker
847,Add oil to the frying pan
848,Get bowl from the dish washer rack
849,Turn knob to regulate heat of the gas cooker
850,Get fork from the dish washer rack
851,Get egg from the refrigerator
852,Return crate of egg into the refrigerator
853,Get tomato from the refrigerator
854,Crack egg into the bowl
855,Dispose egg shell in the trash bin
856,Wash hands with soap and water
857,Wipe kitchen countertop with paper towel
858,Dispose used paper towel in the trash bin
859,Whisk egg mixture in the bowl with fork till they are well integrated
860,Tilt the frying pan to allow oil flow evenly in it
861,Add salt to egg mixture in the bowl
862,Cut out the tomato pedicel with knife on the chopping board
863,Dispose cut tomato pedicel in the thrash bin
864,Slice tomato with knife on the chopping board
865,Pour egg mixture into the frying pan
866,Place the bowl in the kitchen sink
867,Stir egg mixture in the frying pan with spatula to form soft curds
868,Get plate from the kitchen countertop
869,Serve scrambled egg in the plate
870,Add sliced tomato to the frying pan
871,Stir tomato in the frying pan with spatula
872,Wait till tomato in the frying pan cooks
873,Add salt to tomato in the frying pan
874,Stir tomato in the frying pan
875,Break the scrambled egg in the plate into pieces with spatula
876,Add water to the tomato in the frying pan
877,Add the scrambled egg into the tomato mixture in the frying pan
878,Cover frying pan with lid to cook tomato and egg mixture
879,Stir with spatula to combine tomato and egg in the frying pan
880,Add water into tomato and egg mixture in the frying pan
881,Lift the lid of the frying pan
882,Clean the plate with paper towel
883,Turn off the gas cooker
884,Serve food in the plate
885,Get parsley from the refrigerator
886,Return remaining parsley to the refrigerator
887,Garnish the food in the plate with parsley
888,Dispose remaining parsley in the trash bin
889,pour the coffee into cup
890,add milk to coffee in cup
891,get spoon from the cabinet drawer
892,stir the coffee in the cup
893,Get coffee grounds from the kitchen countertop
894,Add coffee grounds to the coffee maker filter
895,Add water to the coffee maker reservoir
896,Close the lid of the coffee maker
897,Turn on the coffee maker
898,Get cup from the kitchen countertop
899,Get milk from the refrigerator
900,Wait while the coffee in the coffee maker brews
901,Pour milk into the cup
902,Return milk container into the refrigerator
903,Turn off the coffee maker
904,Pour coffee into milk in the cup
905,Get a coffee cup from the countertop.
906,Get a pot from the cabinet.
907,Get cups from the countertop.
908,Get water with the cup from the tap.
909,Place the pot of water on the stove.
910,Turn on the stove with a lighter.
911,Get milk from the countertop.
912,Pour milk into the cup from the milk container.
913,Heat the cup of milk on the stove.
914,Heat the pot of water on the stove.
915,Get a sachet of coffee from the countertop.
916,Get a spoon from the dishwasher.
917,Add coffee into the coffee cup on the countertop with the spoon.
918,Put away the sachet of coffee on the countertop.
919,Adjust the heat of the pot of water and cup of milk.
920,Turn off the heat of the pot of water.
921,Add hot water into the coffee cup.
922,Put away the pot in the sink.
923,Stir the cup of milk.
924,Place the napkin on the countertop.
925,Regulate the heat of the cup of milk.
926,Remove the cup of milk from the stove.
927,Stir the coffee in the coffee cup.
928,Pour the coffee into the cup.
929,Add hot milk into the coffee in the cup on the countertop.
930,Put away the cup of milk into the sink.
931,Put away the napkin on the countertop.
932,Put away the coffee cup into the sink.
933,Put away the pot into the sink.
934,Arrange the test materials on the table
935,Unbox the covid test kit box
936,Place test materials on the table
937,Return the instruction sheet into the covid test kit box
938,Unwrap the test tube
939,Dispose the test tube wrap into a plastic bag
940,Unwrap the test tube from its pack
941,Fold the covid test kit box on the table
942,Carefully open the test tube seal paper
943,Dispose the seal paper into the plastic bag
944,Position the covid 19 test tube on the box
945,Locate and unwrap the test plate
946,Arrange test materials in the plastic bag for disposal
947,Locate and unwrap the collection swab
948,Insert the tip of the swab into the right nostril
949,Rotate the collection swab in the right nostril
950,Extract the collection swab from the right nostril
951,Repeat the process with the left nostril
952,Dip the collection swab in the test tube
953,Rotate the collection swab in the test tube
954,Locate and unwrap test tube cap
955,Apply a few drops of the testing solution to the test plate
956,Wait for a few minutes
957,Checks the test plate for the results
958,Arrange materials for disposal
